Survey_Priority_ID,Order,Region,WMU,Budget,YearsSinceRevised,RevisedYearLast,TargetYrs,YearProjectedtobeFlown,EOMSD,2019_Priority,Comments,WMUlist.x,AMBI,BISH,MOGO,MOOS,MUDE,PRON,WAPT,WTDE,SL_num,Drawnum,speciesNum,quota,applicants,drawn,minPriority,maxPriority,medPriority,muPriority,drw_cde_list,spp_list,WMUlist.y,GL.Season_Cnt,SL.SeasonCnt,M_Biomass,F_Biomass,YOY_Biomass,Spplist,TotalKill,Total_Biomass,LicenceCount,WMUlist,IntervalFactor
99,55,SSR,408,25,6,2018,5,2020,OPS,,,408,,1,,,,,1,,5,4,2,59,650,60,1,15,1,1,29|36|18|19,BISH|WAPT,408,2,4,2972.856774,195,0,BISH|WAPT,28.40903226,3167.856774,9,408,5
100,56,SSR,410,25,6,2018,5,2020,OPS,,,410,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,410,5
101,25,SSR,412,25,13,2011,5,2020,OPS,,,412,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,412,5
102,26,SSR,414,25,13,2011,5,2020,OPS,,,414,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,414,5
103,17,RDNS,429,15,14,2010,5,2020,OPS,,,429,,1,,1,,,,,2,1,1,13,55,13,3,4,3,3,33,MOOS,429,,,,,,,,,2,429,5
104,30,UAR,437,5,3,2021,5,2020,OPS,,,437,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,4,437,5
105,31,UAR,438,10,12,2012,5,2020,OPS,,,438,,1,,,,,1,,1,1,1,17,151,17,3,3,3,3,19,WAPT,438,1,1,1891.298777,431.25,0,WAPT,7.785308678,2322.548777,5,438,5
106,32,UAR,439,5,12,2012,5,2020,OPS,,,439,,1,,,,,1,,1,1,1,5,109,5,5,5,5,5,19,WAPT,439,1,1,0,0,0,WAPT,0,0,3,439,5
107,114,UP,440,34,1,2023,99,2030,OPS,,,440,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,440,99
108,167,UP,444,20,7,2017,99,2030,OPS,,,444,,1,1,,,,1,,1,1,1,15,70,15,2,2,2,2,19,WAPT,444,1,1,945.6493885,1196,0,WAPT,8.155154339,2141.649388,4,444,99
109,168,UP,445,20,7,2017,99,2030,OPS,,,445,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,445,99
110,169,UP,446,20,7,2017,99,2030,OPS,,,446,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,446,99
111,101,LAR,500,35,8,2016,5,2022,EMSD,,,500,,,,1,1,,,1,4,4,2,260,816,260,0,3,0,0,27|33|13|14,MOOS|MUDE,500,2,2,3553,1296.521739,169.7826087,MUDE,59.00869565,5019.304348,5,500,5
112,133,LAR,501,30,5,2019,5,2024,EMSD,,,501,,,,1,1,,,1,4,4,2,94,481,94,0,5,0,0,27|33|13|14,MOOS|MUDE,501,2,2,712.5,800,0,MUDE,18.92857143,1512.5,5,501,5
113,108,LAR,502,25,7,2017,5,2023,EMSD,,,502,,,,1,1,,,1,4,4,2,147,1226,147,1,5,1,1,27|33|13|14,MOOS|MUDE,502,2,2,2337,370,0,MUDE,29.88571429,2707,5,502,5
114,79,LAR,503,35,2,2022,5,2021,EMSD,,,503,,,,1,,,,1,2,2,1,303,796,304,1,1,1,1,27|33,MOOS,503,,,,,,,,,4,503,5
115,80,UAR,504,20,9,2015,5,2021,OPS,2,,504,,,,1,,,,1,2,2,1,279,797,279,1,1,1,1,27|33,MOOS,504,,,,,,,,,5,504,5
116,67,UAR,505,30,9,2015,5,2020,OPS,2,,505,,,,1,1,,,1,4,4,2,138,1118,138,1,7,1,1,28|33|13|14,MOOS|MUDE,505,2,2,1093.079268,1000,0,MUDE,25.79181185,2093.079268,5,505,5
117,147,UAR,506,25,6,2018,5,2024,OPS,,,506,,,,1,1,,,1,4,4,2,303,1749,303,2,5,2,2,27|33|13|14,MOOS|MUDE,506,2,2,2256.25,852.0934959,0,MUDE,35.92276423,3108.343496,5,506,5
118,81,UAR,507,28,9,2015,5,2021,OPS,,,507,,,,1,1,,1,1,6,5,3,650,2859,650,1,5,1,1,27|33|13|14|19,MOOS|MUDE|WAPT,507,3,3,11329.14536,6310.576613,475.125,MUDE|WAPT,99.05968007,18114.84697,5,507,5
119,123,UAR,508,36,5,2019,5,2024,OPS,,,508,,,,1,1,,,1,4,4,2,470,2219,470,1,6,1,1,27|33|13|14,MOOS|MUDE,508,2,2,3723.729675,1260,0,MUDE,57.19715447,4983.729675,5,508,5
120,155,UAR,509,25,8,2016,5,2025,OPS,,,509,,,,1,,,,1,2,2,1,171,781,171,1,3,1,1,27|33,MOOS,509,,,,,,,,,6,509,5
121,148,UAR,510,45,9,2015,5,2024,OPS,,,510,,,,1,,,,1,2,2,1,507,1711,507,1,2,1,1,28|33,MOOS,510,,,,,,,,,5,510,5
122,57,UAR,511,45,10,2014,5,2020,EMSD,2,,511,,,,1,,,,,2,1,1,48,513,48,2,5,2,2,33,MOOS,511,1,1,1864.285714,0,0,MOOS,4.142857143,1864.285714,3,511,5
123,40,LAR,512,20,4,2020,5,2020,EMSD,,,512,,,,1,,,,,2,1,1,370,897,370,0,1,0,0,33,MOOS,512,1,1,48294.23077,0,0,MOOS,107.3205128,48294.23077,1,512,5
124,109,LAR,514,18,7,2017,5,2023,EMSD,,,514,,,,1,,,,1,2,1,1,47,495,47,3,5,3,3,33,MOOS,514,1,1,6814.285714,0,0,MOOS,15.14285714,6814.285714,2,514,5
125,134,LAR,515,35,5,2019,5,2024,EMSD,,,515,,,,1,,,,1,2,1,1,57,282,57,1,5,1,1,33,MOOS,515,1,1,1050,0,0,MOOS,2.333333333,1050,1,515,5
126,124,LAR,516,26,6,2018,5,2023,EMSD,,,516,,,,1,,,,1,2,1,1,34,176,34,0,2,0,0,33,MOOS,516,1,1,0,0,0,MOOS,0,0,1,516,5
127,125,LAR,517,100,5,2019,5,2024,EMSD,,,517,,,,1,,,,1,2,1,1,10,101,11,1,3,1,1,33,MOOS,517,1,1,0,0,0,MOOS,0,0,1,517,5
128,41,LAR,518,85,11,2013,5,2020,EMSD,,,518,,,,1,,,,,2,1,1,144,511,144,0,1,0,0,33,MOOS,518,1,1,24287.72727,0,0,MOOS,53.97272727,24287.72727,1,518,5
129,82,LAR,519,50,9,2015,5,2021,EMSD,,,519,,,,1,,,,,2,1,1,150,432,150,0,3,0,0,33,MOOS,519,1,1,10157.14286,0,0,MOOS,22.57142857,10157.14286,1,519,5
130,149,LP,520,32,6,2018,5,2024,EMSD,,,520,,,,1,,,,,2,1,1,249,250,148,0,1,0,0,33,MOOS,520,1,1,14264.22414,0,0,MOOS,31.69827586,14264.22414,3,520,5
131,150,UP,521,55,6,2018,5,2024,OPS,,,521,,,,1,1,,1,1,8,5,3,997,3899,997,0,6,0,0,28|33|13|14|19,MOOS|MUDE|WAPT,521,4,5,136052.6081,31800.89978,6694.871429,MOOS|MUDE|WAPT,530.2313124,174548.3793,5,521,5
132,9,UP,522,58,4,2020,5,2020,OPS,1,"Long overdue, many special licence seasons including calf moose, antlerless elk, antlered and antlerless mule deer. Proposing regulation change to align antlerless white-tailed deer season with adjacent units. Agricultural conflict with elk is high. ",522,,,,1,1,,1,1,8,5,3,1222,3407,1142,0,6,0,0,28|33|13|14|19,MOOS|MUDE|WAPT,522,4,5,108197.9835,41970.91002,11084.94027,MOOS|MUDE|WAPT,569.6489799,161253.8337,5,522,5
133,151,LP,523,38,6,2018,5,2024,EMSD,,,523,,,,1,1,,1,1,8,5,3,1287,3148,1225,0,3,0,0,28|33|13|14|19,MOOS|MUDE|WAPT,523,4,5,52368.19571,42376.77778,8973.672727,MOOS|MUDE|WAPT,444.2567489,103718.6462,5,523,5
134,126,LP,524,60,5,2019,5,2024,OPS,,,524,,,,1,,,,,2,1,1,270,329,168,0,1,0,0,33,MOOS,524,1,1,18248.27586,0,0,MOOS,40.55172414,18248.27586,2,524,5
135,127,LP,525,45,5,2019,5,2024,OPS,,,525,,,,1,,,,,2,1,1,124,382,124,1,3,1,1,33,MOOS,525,1,1,17362.5,0,0,MOOS,38.58333333,17362.5,2,525,5
136,105,LP,526,51,1,2023,5,2023,OPS,3,,526,,,,1,1,,1,1,8,5,3,2045,4991,1879,0,3,0,0,28|33|13|14|19,MOOS|MUDE|WAPT,526,4,5,137320.1021,33440.9991,3334.14489,MOOS|MUDE|WAPT,724.3731737,174095.246,5,526,5
137,83,LP,527,42,4,2020,5,2021,EMSD,1,,527,,,,1,1,,1,1,8,5,3,1557,2842,1062,0,4,0,0,28|33|13|14|19,MOOS|MUDE|WAPT,527,4,5,55807.44952,7493.063375,3821.127451,MOOS|MUDE|WAPT,291.0020901,67121.64035,5,527,5
138,128,LP,528,35,5,2019,5,2024,EMSD,,,528,,,,1,,,,,2,1,1,197,552,154,0,3,0,0,33,MOOS,528,1,1,19200,0,0,MOOS,42.66666667,19200,1,528,5
139,110,LAR,529,30,7,2017,5,2023,EMSD,,,529,,,,1,,,,,2,1,1,20,82,19,0,2,0,0,33,MOOS,529,1,1,2700,0,0,MOOS,6,2700,1,529,5
140,129,LAR,530,58,6,2018,5,2023,EMSD,,,530,,,,1,,,,,2,1,1,335,441,304,0,0,0,0,33,MOOS,530,1,1,32878.92857,0,0,MOOS,73.06428571,32878.92857,1,530,5
141,102,LAR,531,118,8,2016,5,2022,EMSD,,,531,,,,1,,,,,1,1,1,75,187,75,1,1,1,1,33,MOOS,531,1,1,7312.5,0,0,MOOS,16.25,7312.5,1,531,5
142,,LAR,532,76,31,1993,99,,OPS,2,,532,,,,1,,,,,1,1,1,50,25,25,0,0,0,0,33,MOOS,532,1,1,2400,0,0,MOOS,5.333333333,2400,1,532,99
143,2,LP,534,115,31,1993,99,2020,OPS,,Delayed until methods can be developed to make this feasible,534,,,,1,,,,,1,1,1,130,172,130,0,0,0,0,33,MOOS,534,1,1,15187.5,0,0,MOOS,33.75,15187.5,1,534,99
144,84,LP,535,32,9,2015,5,2021,OPS,2,,535,,,,1,,,1,1,2,1,1,45,138,43,0,2,0,0,33,MOOS,535,1,1,0,0,0,MOOS,0,0,2,535,5
145,152,LP,536,85,6,2018,5,2024,OPS,,,536,,,,1,,,,,2,1,1,294,291,154,0,1,0,0,33,MOOS,536,1,1,25854.91071,0,0,MOOS,57.45535714,25854.91071,1,536,5
146,154,LP,537,42,6,2018,5,2024,OPS,,,537,,,,1,,,1,,5,2,2,260,191,100,0,1,0,0,33|19,MOOS|WAPT,537,2,2,14491.29878,0,0,MOOS|WAPT,33.91030868,14491.29878,4,537,5
147,164,LP,539,120,6,2018,7,2026,OPS,,,539,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,539,7
148,111,LP,540,115,6,2018,5,2023,EMSD,,,540,,,,1,,,,,1,1,1,14,68,15,1,1,1,1,33,MOOS,540,1,1,0,0,0,MOOS,0,0,1,540,5
149,42,UAR,541,85,11,2013,5,2020,EMSD,,,541,,,,1,,,,,2,1,1,43,83,33,0,1,0,0,33,MOOS,541,1,1,2160,0,0,MOOS,4.8,2160,1,541,5
150,93,UAR,542,60,8,2016,5,2022,EMSD,,,542,,,,1,,,,,2,1,1,60,122,42,0,1,0,0,33,MOOS,542,1,1,6975,0,0,MOOS,15.5,6975,1,542,5
151,27,UAR,543,25,13,2011,5,2020,OPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
152,153,UAR,544,25,6,2018,5,2024,EMSD,,,544,,,,1,,,,,2,1,1,57,208,57,1,2,1,1,33,MOOS,544,1,1,6525,0,0,MOOS,14.5,6525,3,544,5
153,58,SSR,624,12,8,2016,3,2020,OPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
154,,LAR,651,,10,2014,,,EMSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,59,LAR,726,48,10,2014,5,2020,EMSD,,,726,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
156,89,SSR,732,31,2,2022,3,2024,OPS,,,732,,,,,,1,1,,12,2,1,580,4294,583,1,5,1,1,18|19,WAPT,732,,,,,,,,,2,732,3
157,1,SSR,734,37.5,31,1993,99,2020,OPS,,,734,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99
158,,SSR,794,37.5,16,2008,99,,OPS,,In park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99
159,,LAR,841,,5,2019,,,EMSD,,,841,,,,1,,,,1,2,1,1,10,58,10,3,5,3,3,33,MOOS,841,,,,,,,,,1,841,
160,112,RDNS,936,4.8,6,2018,7,2023,OPS,3,,936,,,,1,1,,1,1,4,4,2,117,569,117,2,5,2,2,27|33|18|19,MOOS|WAPT,936,,,,,,,,,4,936,7
161,85,SSR,306308400402,19,6,2018,2,2021,OPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
162,,SSR,212-312 Elk,25,4,2020,5,,OPS,3,"Proposed, new unit? Multi-species in 312?",212|312,,,,,,,1,,5,2,1,955,2854,959,0,2,0,0,19|40,WAPT,212|312,3,2,68278.34008,28813.74594,2706.117075,WAPT,353.5978921,99798.20309,6,212|312,5
163,61,SSR,404-414 BISH,40,4,2020,2,2020,OPS,,,302|303|306|308|402|404|406|408|410|412|414,,1,,1,1,,1,,11,3,1,118,2317,119,3,17,3,3,29|30|36,BISH,302|303|306|308|402|404|406|408|410|412|414,11,9,5945.713548,1414.833333,122.4,BISH,74.98473118,7482.946882,56,302|303|306|308|402|404|406|408|410|412|414,2
164,62,RDNS,416-434 BISH,25,4,2020,2,2020,OPS,1,,416|417|418|420|422|426|428|430|432|434,,1,,,,,,,11,1,1,97,544,99,2,7,2,2,29,BISH,416|417|418|420|422|426|428|430|432|434,10,8,3633.491613,1755,204,BISH,62.05548387,5592.491613,34,416|417|418|420|422|426|428|430|432|434,2
165,,UAR,436-439 BISH,45,4,2020,2,2020,OPS,1,is the UAR southern district priority for 2019-20,436|437|438|439,,1,,,,,,,9,3,1,40,10113,40,0,22,0,0,29|34|38,BISH,436|437|438|439,3,4,990.9522581,0,0,BISH,8.469677419,990.9522581,13,436|437|438|439,2
166,63,UP,436-446,35,5,2019,2,2024,OPS,,,440|441|442|444|445|446,,1,,,,,,,7,2,1,75,1584,77,1,14,1,1,29|37,BISH,440|441|442|444|445|446,5,6,2312.221935,546,204,BISH,32.16258065,3062.221935,14,440|441|442|444|445|446,2
167,86,LP,536/539Bison,30,1,2023,2,2020,OPS,,,536|539,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,536|539,2
168,64,RDNS,728/730,20,4,2020,2,2024,OPS,1,"Regional, but no ReLM priority as project funded by CFB Wainwright",728|730,,,,1,1,,1,1,12,4,3,990,5918,993,1,10,1,1,17|27|33|41,DEER|MOOS|WAPT,728|730,,,,,,,,,4,728,2
169,103,UP,"GOAT H,I,C,E
",40,3,2021,4,2021,OPS,1,,H|I|C|E,,,1,,,,,,1,1,1,1,3146,1,0,0,0,0,35,MOGO,H|I|C|E,,,,,,,,,,,4
170,104,SSR,"GOAT O, Q, R, U",12,5,2019,4,2020,OPS,,,O|Q|R|U,,,1,,,,,,3,1,1,3,9577,3,0,0,0,0,35,MOGO,O|Q|R|U,,,,,,,,,,,4
171,87,UAR,JNP,25,6,2018,2,2020,OPS,,,999,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,999,2
171,87,UAR,JNP,25,6,2018,2,2020,OPS,,,JNP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,999,2
172,43,SSR,Pronghorn,50,3,2021,1,2020,OPS,2,Need consistency with SSASK-PRON should be flown provincially and perhaps every second year,1|2|3|4|5|6|102|104|106|108|112|118|119|116|128|140|124|148|138|142|144,,,,,,1,,,24,3,1,910,9957,914,4,13,4,4,10|11|12,PRON,1|2|3|4|5|6|102|104|106|108|112|118|119|116|128|140|124|148|138|142|144,,,,,,,,,84,102|104|106|108|112|116|118|119|124|128|138|140|142|144|148,1
173,44,RDNS,Pronghorn,23,3,2021,1,2020,OPS,2,Need consistency with SSASK-PRON should be flown provincially and perhaps every second year,7|8|150|151|152|160|162|163|164|166,,,,,,1,,,8,3,1,600,7036,603,7,10,7,7,10|11|12,PRON,7|8|150|151|152|160|162|163|164|166,,,,,,,,,50,150|151|152|160|162|163|164|166,1
827,,SSR,WMUs with DEER HARVEST OPPORTUNITIES (NOT SL) but without identified DEER surveys,,,,,,,,,212,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,212,
841,,SSR,WMUs with MOOS HARVEST OPPORTUNITIES (NOT SL) but without identified MOOS surveys,,,,,,,,,212|410,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,212|410,
811,,SSR,WMUs with MUDE HARVEST OPPORTUNITIES (NOT SL) but without identified MUDE surveys,,,,,,,,,212|410,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,212|410,
812,,UP,WMUs with MUDE HARVEST OPPORTUNITIES (NOT SL) but without identified MUDE surveys,,,,,,,,,352|353|355|440|441|442|444|445|446,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,23,352|353|355|440|441|442|444|445|446,
813,,UAR,WMUs with MUDE HARVEST OPPORTUNITIES (NOT SL) but without identified MUDE surveys,,,,,,,,,436|541|542,,1,,1,,,,,,,,,,,,,,,,,,6,1,333.0792683,0,0,MUDE,3.506097561,333.0792683,3,436|541|542,
814,,LAR,WMUs with MUDE HARVEST OPPORTUNITIES (NOT SL) but without identified MUDE surveys,,,,,,,,,512|515|516|517|518|519|529|530|531|532|841,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,11,512|515|516|517|518|519|529|530|531|532|841,
815,,LP,WMUs with MUDE HARVEST OPPORTUNITIES (NOT SL) but without identified MUDE surveys,,,,,,,,,528|534|536|539|540,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,528|534|536|539|540,
885,,LAR,WMUs with MUDE SL but without identified MUDE surveys,,,,,,,,,503,,,,1,,,,1,2,2,1,29,215,29,3,3,3,3,13|14,MUDE,503,2,2,998.0792683,280,0,MUDE,14.50609756,1278.079268,4,503,
884,,LP,WMUs with MUDE SL but without identified MUDE surveys,,,,,,,,,520|524|525|535|537,,,,1,,,1,1,6,2,1,64,337,64,0,7,0,0,13|14,MUDE,520|524|525|535|537,10,6,1283.079268,0,0,MUDE,13.50609756,1283.079268,13,520|524|525|535|537,
883,,UP,WMUs with MUDE SL but without identified MUDE surveys,,,,,,,,,354|356|358,,,,1,,,1,,4,2,1,168,1396,168,1,8,1,1,13|14,MUDE,354|356|358,6,4,1819.393939,1790.254415,121.3793103,MUDE,46.93347478,3731.027665,10,354|356|358,
886,,RDNS,WMUs with MUDE SL but without identified MUDE surveys,,,,,,,,,326|328|429,,1,,1,,,1,,4,2,1,35,519,37,3,6,3,3,13|14,MUDE,326|328|429,6,4,0,245.4268293,0,MUDE,3.506097561,245.4268293,7,326|328|429,
887,,UAR,WMUs with MUDE SL but without identified MUDE surveys,,,,,,,,,339|344|347|349|350|351|437|438|439,,1,,1,,,1,,9,1,1,186,1088,187,1,5,1,1,13,MUDE,339|344|347|349|350|351|437|438|439,18,9,1644.404762,0,0,MUDE,17.30952381,1644.404762,25,339|344|347|349|350|351|437|438|439,
831,,SSR,WMUs with Wapt HARVEST OPPORTUNITIES (NOT SL) but without identified WAPT surveys,,,,,,,,,316,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,3,316,
832,,RDNS,WMUs with Wapt HARVEST OPPORTUNITIES (NOT SL) but without identified WAPT surveys,,,,,,,,,158|160|163|164|202|203|210|220|222|226|228|230|232|238|242|244|246|248|254|256|258|260|320|322|426|429|432|434,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,112,158|160|163|164|202|203|210|220|222|226|228|230|232|238|242|244|246|248|254|256|258|260|320|322|426|429|432|434,
833,,UAR,WMUs with Wapt HARVEST OPPORTUNITIES (NOT SL) but without identified WAPT surveys,,,,,,,,,347|349|351,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,6,347|349|351,
835,,LP,WMUs with Wapt HARVEST OPPORTUNITIES (NOT SL) but without identified WAPT surveys,,,,,,,,,525|528,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,525|528,
821,,SSR,WMUs with WTDE HARVEST OPPORTUNITIES (NOT SL) but without identified WTDE surveys,,,,,,,,,212|300|302|303|306|308|410,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,24,212|300|302|303|306|308|410,
822,,UP,WMUs with WTDE HARVEST OPPORTUNITIES (NOT SL) but without identified WTDE surveys,,,,,,,,,352|353|354|355|356|358|440|441|442|444|445|446,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,33,352|353|354|355|356|358|440|441|442|444|445|446,
823,,UAR,WMUs with WTDE HARVEST OPPORTUNITIES (NOT SL) but without identified WTDE surveys,,,,,,,,,339|344|347|349|350|351|436|437|438|439|541|542,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,28,339|344|347|349|350|351|436|437|438|439|541|542,
824,,LAR,WMUs with WTDE HARVEST OPPORTUNITIES (NOT SL) but without identified WTDE surveys,,,,,,,,,512|518|519|529|530|531|532|841,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,8,512|518|519|529|530|531|532|841,
825,,LP,WMUs with WTDE HARVEST OPPORTUNITIES (NOT SL) but without identified WTDE surveys,,,,,,,,,520|524|525|528|534|536|537|539|540,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,16,520|524|525|528|534|536|537|539|540,
826,,RDNS,WMUs with WTDE HARVEST OPPORTUNITIES (NOT SL) but without identified WTDE surveys,,,,,,,,,326|328|429,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,7,326|328|429,
555,,SSR,WMUs without identified MOOS surveys,,,,,,,,,102|116|118|119|124|148|150|156|310|400|402|404|406|408|412|414,,1,,,1,1,1,1,27,2,1,362,4492,364,0,18,0,0,27|33,MOOS,102|116|118|119|124|148|150|156|310|400|402|404|406|408|412|414,5,27,33253.37662,13668.6,4435.47619,MOOS,120.0372294,51357.45281,99,102|116|118|119|124|148|150|156|310|400|402|404|406|408|412|414,
554,,RDNS,WMUs without identified MOOS surveys,,,,,,,,,164|236|416|417|418|420|422|426|428|430|432|434,,1,,,1,,,1,14,2,1,177,1662,178,0,9,0,0,27|33,MOOS,164|236|416|417|418|420|422|426|428|430|432|434,10,14,29580,20220.75,1361.25,MOOS,118.2333333,51162,45,164|236|416|417|418|420|422|426|428|430|432|434,
553,,UAR,WMUs without identified MOOS surveys,,,,,,,,,436|437|438|439,,1,,,,,1,,4,1,1,35,266,35,1,6,1,1,33,MOOS,436|437|438|439,4,4,7650,0,0,MOOS,17,7650,13,436|437|438|439,
552,,UP,WMUs without identified MOOS surveys,,,,,,,,,440|441|442|444|445|446,,1,1,,,,1,,6,1,1,110,371,110,0,8,0,0,33,MOOS,440|441|442|443|444|445|446,6,6,25325.12987,0,0,MOOS,56.27806638,25325.12987,14,440|441|442|444|445|446,
551,,LP,WMUs without identified MOOS surveys,,,,,,,,,539,1,,,,,,,,1,1,1,30,76,30,1,1,1,1,33,MOOS,539,1,1,3750,0,0,MOOS,8.333333333,3750,1,539,
888,,SSR,WMUs without identified MUDE surveys,,,,,,,,,116|142|144|148|303|308|316,,1,,1,1,1,1,1,26,2,1,3588,7848,3074,0,5,0,0,13|14,MUDE,116|142|144|148|303|308|316,28,26,77307.66879,41726.60926,2633.332856,MUDE,1457.738132,121667.6109,31,116|142|144|148|303|308|316,
777,,SSR,WMUs without identified WTDE surveys,,,,,,,,,102|106|108|110|112|119|124|132|138|150|404|406|408,,1,,,1,1,1,1,32,2,1,7454,12938,7018,0,1,0,0,15|16,WTDE,102|106|108|110|112|119|124|132|138|150|404|406|408,52,32,358919.0288,142610.3849,19347.22788,WTDE,6167.154032,520876.6415,87,102|106|108|110|112|119|124|132|138|150|404|406|408,
666,,UP,WMUs without identifiedWAPT surveys,,,,,,,,,352|353|354|355|356|441,,,,1,,,1,,20,1,1,1730,3240,1576,0,4,0,0,19,WAPT,352|353|354|355|356|441,12,12,83217.14619,36077.7753,2934.614356,WAPT,433.1268134,122229.5358,17,352|353|354|355|356|441,
665,,UAR,WMUs without identifiedWAPT surveys,,,,,,,,,336|338|340|342|346|505|508|510|511|544,,,,1,1,,,1,19,1,1,828,4421,813,0,8,0,0,19,WAPT,336|338|340|342|346|505|508|510|511|544,10,10,65249.8078,38007.76555,6988.013477,WAPT,407.7646132,110245.5868,38,336|338|340|342|346|505|508|510|511|544,
664,,SSR,WMUs without identifiedWAPT surveys,,,,,,,,,102|104|110|116|124|132|156|400|402,,1,,,1,1,1,1,74,3,1,1764,11506,1750,0,12,0,0,18|19|41,WAPT,102|104|110|116|124|132|156|400|402,8,30,142270.6765,57736.61639,6647.333054,WAPT,732.3502279,206654.6259,60,102|104|110|116|124|132|156|400|402,
663,,RDNS,WMUs without identifiedWAPT surveys,,,,,,,,,151|162|200|204|206|216|221|224|236|240|252|318|324|416|417|418|420|422|428|430,,1,,1,1,,,1,34,2,1,1482,10305,1485,1,14,1,1,18|19,WAPT,151|162|200|204|206|216|221|224|236|240|252|318|324|416|417|418|420|422|428|430,13,28,67586.50315,47887.48508,7592.96874,WAPT,461.3643827,123066.957,101,151|162|200|204|206|216|221|224|236|240|252|318|324|416|417|418|420|422|428|430,
662,,LP,WMUs without identifiedWAPT surveys,,,,,,,,,520,,,,1,,,,,3,1,1,90,46,28,0,0,0,0,19,WAPT,520,1,1,6619.545719,0,0,WAPT,20.68608037,6619.545719,3,520,
661,,LAR,WMUs without identifiedWAPT surveys,,,,,,,,,500|501|502|504|506|509|514,,,,1,1,,,1,12,2,1,297,1349,286,0,5,0,0,18|19,WAPT,500|501|502|504|506|509|514,4,8,2836.948165,7877.332557,692.0588235,WAPT,46.93826441,11406.33955,33,500|501|502|504|506|509|514,
